Axial twisting angle (degree), Axial length (mm)
32.14,17.808
32.429,17.766
32.727,17.721
33.033,17.675
33.349,17.627
33.675,17.577
34.011,17.526
34.355,17.472
34.712,17.416
35.081,17.359
35.457,17.299
35.847,17.236
36.25,17.172
36.666,17.105
37.097,17.035
37.54,16.962
38.001,16.887
38.478,16.808
38.971,16.726
39.483,16.64
40.017,16.551
40.147,16.528
40.279,16.505
40.413,16.481
40.619,16.445
40.941,16.39
41.268,16.334
41.603,16.275
41.951,16.215
42.306,16.154
42.67,16.09
43.053,16.024
43.43,15.957
43.838,15.887
44.258,15.814
44.659,15.739
45.096,15.661
45.571,15.58
46.029,15.496
46.154,15.474
46.256,15.452
46.358,15.43
46.563,15.397
46.816,15.345
47.101,15.293
47.392,15.239
47.716,15.183
47.994,15.126
48.313,15.068
48.64,15.008
48.968,14.946
49.318,14.883
49.662,14.817
50.016,14.75
50.367,14.68
50.746,14.608
51.13,14.534
51.525,14.457
51.948,14.377
52.035,14.357
52.134,14.337
52.231,14.316
52.395,14.285
52.633,14.237
52.875,14.188
53.111,14.139
53.361,14.088
53.615,14.036
53.885,13.983
54.138,13.929
54.362,13.874
54.632,13.818
54.962,13.761
55.232,13.702
55.517,13.642
55.797,13.581
56.093,13.519
56.388,13.456
56.652,13.391
57.014,13.326
57.324,13.259
57.597,13.191
57.9,13.121
57.973,13.104
58.048,13.086
58.162,13.06
58.379,13.02
58.515,12.98
58.688,12.939
58.867,12.898
59.047,12.857
59.181,12.815
59.428,12.773
59.605,12.731
59.786,12.689
60.008,12.646
60.19,12.603
60.348,12.56
60.532,12.517
60.742,12.473
60.925,12.43
61.11,12.386
61.293,12.342
61.434,12.298
61.659,12.253
61.815,12.209
62.025,12.164
62.208,12.12
62.36,12.075
62.569,12.03
62.706,11.986
62.928,11.941
63.107,11.896
63.284,11.852
63.461,11.807
63.636,11.762
63.811,11.718
64.075,11.651
64.335,11.585
64.541,11.519
64.796,11.453
65.054,11.387
65.347,11.322
65.592,11.258
65.835,11.194
66.018,11.13
66.258,11.067
66.489,11.004
66.696,10.942
66.987,10.88
67.138,10.819
67.421,10.759
67.565,10.699
67.773,10.64
67.977,10.581
68.178,10.523
68.375,10.466
68.568,10.409
68.753,10.352
68.726,10.296
69.205,10.241
69.386,10.187
69.564,10.132
69.669,10.079
69.841,10.026
70.01,9.9731
70.248,9.921
70.497,9.8438
70.667,9.7678
70.9,9.6927
