Chamber_1(kPa),chamber_2(kPa),chamber_3(kPa),chamber_4(kPa),chamber_5(kPa),chamber_6(kPa),time(s)
-0.515,-0.53458,-0.515,-0.76,-0.6375,-0.76,0
-0.8825,-0.6826,-0.515,-1.005,-0.76,-0.76,0.024569
-0.515,-0.53458,-0.76,-0.8825,-0.8825,-1.005,0.051193
-1.005,-0.83062,-0.76,-0.76,-0.76,-0.76,0.077922
-1.125,-1.2747,-0.76,-1.2475,-0.8825,-1.2475,0.10441
-6.625,-6.7364,-4.7925,-5.77,-5.28,-4.7925,0.12903
-9.0675,-9.2467,-7.235,-6.99,-6.7475,-6.7475,0.15562
-11.145,-11.757,-9.8025,-9.0675,-8.825,-8.4575,0.18224
-13.345,-13.971,-12,-10.535,-10.78,-10.535,0.20887
-15.3,-16.038,-13.955,-12.122,-12.49,-12.612,0.23345
-16.768,-17.071,-15.79,-13.222,-13.713,-13.835,0.26009
-17.988,-17.811,-16.768,-14.2,-14.69,-15.055,0.28668
-19.088,-18.696,-17.865,-15.178,-16.032,-16.768,0.3133
-20.31,-19.729,-18.965,-16.277,-16.887,-17.865,0.33789
-21.042,-20.173,-19.7,-16.645,-17.745,-18.355,0.36451
-22.02,-21.206,-20.31,-17.378,-18.843,-19.577,0.39114
-22.633,-21.502,-20.797,-17.988,-19.455,-20.187,0.41774
-23.488,-22.239,-21.41,-18.722,-19.942,-21.042,0.44233
-24.097,-22.387,-22.02,-19.088,-20.677,-21.897,0.46895
-24.708,-22.831,-22.633,-19.942,-21.41,-22.633,0.49555
-25.443,-23.272,-23.73,-20.797,-22.387,-23.61,0.52222
-26.42,-24.157,-24.465,-21.41,-23.365,-24.343,0.54881
-26.663,-24.306,-24.953,-22.142,-24.097,-24.953,0.57341
-27.397,-25.339,-25.565,-22.752,-24.465,-25.807,0.60004
-27.885,-25.783,-25.93,-23.365,-25.197,-26.785,0.62664
-28.62,-26.375,-26.663,-24.097,-26.175,-27.52,0.65325
-29.23,-27.112,-27.153,-24.708,-26.907,-28.253,0.67786
-29.475,-26.964,-27.52,-25.075,-27.275,-28.375,0.70448
-30.453,-27.701,-28.253,-25.807,-27.885,-29.107,0.73108
-31.063,-28.145,-28.863,-26.543,-28.62,-29.84,0.75769
-31.795,-28.882,-29.84,-27.275,-29.598,-31.185,0.78227
-32.162,-29.622,-30.33,-27.885,-30.33,-31.552,0.8089
-32.895,-30.211,-30.94,-28.375,-31.185,-32.407,0.83554
-33.75,-30.951,-31.795,-29.23,-31.552,-32.65,0.86213
-34.24,-30.803,-31.917,-29.84,-32.04,-33.262,0.88671
-34.605,-31.392,-32.53,-30.207,-32.773,-34.117,0.91332
-34.85,-31.54,-32.65,-30.575,-33.385,-34.605,0.93995
-35.705,-32.281,-33.262,-31.43,-34.24,-35.462,0.96658
-36.44,-33.018,-33.995,-31.917,-34.485,-35.34,0.99317
-36.805,-33.166,-33.995,-32.162,-34.85,-35.828,1.0178
-37.418,-33.903,-34.85,-32.895,-35.462,-36.44,1.0444
-37.905,-33.903,-35.218,-33.385,-36.44,-37.418,1.071
-38.395,-34.643,-36.072,-33.872,-36.928,-37.905,1.0976
-39.373,-35.38,-36.805,-34.85,-37.418,-38.515,1.1222
-39.615,-35.528,-37.05,-35.218,-37.782,-38.515,1.1488
-40.35,-36.561,-37.782,-35.95,-38.638,-39.615,1.1754
-40.96,-37.005,-38.515,-36.805,-39.738,-40.47,1.2022
-41.205,-37.298,-38.76,-37.295,-40.105,-40.715,1.2267
-42.06,-38.038,-39.25,-37.782,-40.47,-41.327,1.2533
-42.183,-37.742,-39.373,-38.395,-40.96,-41.57,1.2799
